ID,strain,temperature,treatment,timepoint,day,replicate,live,dead,tot cells,perc_dead
590DLR1,Pg590,1,Dark,1,12,1,133,7,140,5
590DLR2,Pg590,1,Dark,1,12,2,166,16,182,8.791208791
590DLR3,Pg590,1,Dark,1,12,3,165,21,186,11.29032258
590DHR1,Pg590,4,Dark,1,12,1,171,12,183,6.557377049
590DHR2,Pg590,4,Dark,1,12,2,119,16,135,11.85185185
590DHR3,Pg590,4,Dark,1,12,3,132,7,139,5.035971223
633DLR1,Pg633,1,Dark,1,12,1,299,21,320,6.5625
633DLR2,Pg633,1,Dark,1,12,2,75,5,80,6.25
633DLR3,Pg633,1,Dark,1,12,3,302,12,314,3.821656051
633DHR1,Pg633,4,Dark,1,12,1,136,26,162,16.04938272
633DHR2,Pg633,4,Dark,1,12,2,78,11,89,12.35955056
633DHR3,Pg633,4,Dark,1,12,3,175,27,202,13.36633663
595DLR1,Pg595,1,Dark,1,12,1,139,24,163,14.72392638
595DLR2,Pg595,1,Dark,1,12,2,68,19,87,21.83908046
595DLR3,Pg595,1,Dark,1,12,3,38,13,51,25.49019608
595DHR1,Pg595,4,Dark,1,12,1,45,51,96,53.125
595DHR2,Pg595,4,Dark,1,12,2,77,30,107,28.03738318
595DHR3,Pg595,4,Dark,1,12,3,112,73,185,39.45945946
716DLR1,Pg716,1,Dark,1,12,1,113,30,143,20.97902098
716DLR2,Pg716,1,Dark,1,12,2,228,12,240,5
716DLR3,Pg716,1,Dark,1,12,3,183,17,200,8.5
716DHR1,Pg716,4,Dark,1,12,1,34,6,40,15
716DHR2,Pg716,4,Dark,1,12,2,76,30,106,28.30188679
716DHR3,Pg716,4,Dark,1,12,3,76,10,86,11.62790698
654DLR1,Pg654,1,Dark,1,12,1,351,18,369,4.87804878
654DLR2,Pg654,1,Dark,1,12,2,351,13,364,3.571428571
654DLR3,Pg654,1,Dark,1,12,3,186,12,198,6.060606061
654DHR1,Pg654,4,Dark,1,12,1,83,10,93,10.75268817
654DHR2,Pg654,4,Dark,1,12,2,115,19,134,14.17910448
654DHR3,Pg654,4,Dark,1,12,3,24,40,64,62.5
590CLR1,Pg590,1,Control,1,12,1,211,10,221,4.524886878
590CLR2,Pg590,1,Control,1,12,2,160,2,162,1.234567901
590CLR3,Pg590,1,Control,1,12,3,200,14,214,6.542056075
590CHR1,Pg590,4,Control,1,12,1,203,20,223,8.968609865
590CHR2,Pg590,4,Control,1,12,2,134,56,190,29.47368421
590CHR3,Pg590,4,Control,1,12,3,282,13,295,4.406779661
633CLR1,Pg633,1,Control,1,12,1,526,26,552,4.710144928
633CLR2,Pg633,1,Control,1,12,2,284,7,291,2.405498282
633CLR3,Pg633,1,Control,1,12,3,292,24,316,7.594936709
633CHR1,Pg633,4,Control,1,12,1,379,41,420,9.761904762
633CHR2,Pg633,4,Control,1,12,2,200,24,224,10.71428571
633CHR3,Pg633,4,Control,1,12,3,212,14,226,6.194690265
595CLR1,Pg595,1,Control,1,12,1,146,18,164,10.97560976
595CLR2,Pg595,1,Control,1,12,2,174,17,191,8.90052356
595CLR3,Pg595,1,Control,1,12,3,291,37,328,11.2804878
595CHR1,Pg595,4,Control,1,12,1,198,28,226,12.38938053
595CHR2,Pg595,4,Control,1,12,2,297,46,343,13.41107872
595CHR3,Pg595,4,Control,1,12,3,216,20,236,8.474576271
716CLR1,Pg716,1,Control,1,12,1,136,12,148,8.108108108
716CLR2,Pg716,1,Control,1,12,2,200,13,213,6.103286385
716CLR3,Pg716,1,Control,1,12,3,143,13,156,8.333333333
716CHR1,Pg716,4,Control,1,12,1,361,19,380,5
716CHR2,Pg716,4,Control,1,12,2,326,27,353,7.648725212
716CHR3,Pg716,4,Control,1,12,3,343,15,358,4.189944134
654CLR1,Pg654,1,Control,1,12,1,178,4,182,2.197802198
654CLR2,Pg654,1,Control,1,12,2,69,10,79,12.65822785
654CLR3,Pg654,1,Control,1,12,3,147,22,169,13.01775148
654CHR1,Pg654,4,Control,1,12,1,210,6,216,2.777777778
654CHR2,Pg654,4,Control,1,12,2,192,7,199,3.51758794
654CHR3,Pg654,4,Control,1,12,3,328,26,354,7.344632768
590DLR1,Pg590,1,Dark,2,22,1,112,36,148,24.32432432
590DLR2,Pg590,1,Dark,2,22,2,164,31,195,15.8974359
590DLR3,Pg590,1,Dark,2,22,3,125,49,174,28.16091954
590DHR1,Pg590,4,Dark,2,22,1,178,20,198,10.1010101
590DHR2,Pg590,4,Dark,2,22,2,136,18,154,11.68831169
590DHR3,Pg590,4,Dark,2,22,3,148,27,175,15.42857143
633DLR1,Pg633,1,Dark,2,22,1,198,20,218,9.174311927
633DLR2,Pg633,1,Dark,2,22,2,203,34,237,14.34599156
633DLR3,Pg633,1,Dark,2,22,3,224,27,251,10.75697211
633DHR1,Pg633,4,Dark,2,22,1,187,11,198,5.555555556
633DHR2,Pg633,4,Dark,2,22,2,125,9,134,6.71641791
633DHR3,Pg633,4,Dark,2,22,3,243,28,271,10.33210332
595DLR1,Pg595,1,Dark,2,22,1,142,50,192,26.04166667
595DLR2,Pg595,1,Dark,2,22,2,123,25,148,16.89189189
595DLR3,Pg595,1,Dark,2,22,3,149,38,187,20.32085561
595DHR1,Pg595,4,Dark,2,22,1,138,99,237,41.7721519
595DHR2,Pg595,4,Dark,2,22,2,125,77,202,38.11881188
595DHR3,Pg595,4,Dark,2,22,3,132,86,218,39.44954128
716DLR1,Pg716,1,Dark,2,22,1,136,27,163,16.56441718
716DLR2,Pg716,1,Dark,2,22,2,172,20,192,10.41666667
716DLR3,Pg716,1,Dark,2,22,3,116,16,132,12.12121212
716DHR1,Pg716,4,Dark,2,22,1,128,18,146,12.32876712
716DHR2,Pg716,4,Dark,2,22,2,71,24,95,25.26315789
716DHR3,Pg716,4,Dark,2,22,3,87,8,95,8.421052632
654DLR1,Pg654,1,Dark,2,22,1,103,43,146,29.45205479
654DLR2,Pg654,1,Dark,2,22,2,199,27,226,11.94690265
654DLR3,Pg654,1,Dark,2,22,3,187,17,204,8.333333333
654DHR1,Pg654,4,Dark,2,22,1,140,15,155,9.677419355
654DHR2,Pg654,4,Dark,2,22,2,186,12,198,6.060606061
654DHR3,Pg654,4,Dark,2,22,3,116,18,134,13.43283582
590CLR1,Pg590,1,Control,2,22,1,139,10,149,6.711409396
590CLR2,Pg590,1,Control,2,22,2,94,7,101,6.930693069
590CLR3,Pg590,1,Control,2,22,3,192,13,205,6.341463415
590CHR1,Pg590,4,Control,2,22,1,250,14,264,5.303030303
590CHR2,Pg590,4,Control,2,22,2,207,17,224,7.589285714
590CHR3,Pg590,4,Control,2,22,3,149,21,170,12.35294118
633CLR1,Pg633,1,Control,2,22,1,77,1,78,1.282051282
633CLR2,Pg633,1,Control,2,22,2,136,10,146,6.849315068
633CLR3,Pg633,1,Control,2,22,3,104,6,110,5.454545455
633CHR1,Pg633,4,Control,2,22,1,89,21,110,19.09090909
633CHR2,Pg633,4,Control,2,22,2,190,7,197,3.553299492
633CHR3,Pg633,4,Control,2,22,3,194,18,212,8.490566038
595CLR1,Pg595,1,Control,2,22,1,88,20,108,18.51851852
595CLR2,Pg595,1,Control,2,22,2,104,15,119,12.60504202
595CLR3,Pg595,1,Control,2,22,3,64,7,71,9.85915493
595CHR1,Pg595,4,Control,2,22,1,119,16,135,11.85185185
595CHR2,Pg595,4,Control,2,22,2,94,18,112,16.07142857
595CHR3,Pg595,4,Control,2,22,3,91,4,95,4.210526316
716CLR1,Pg716,1,Control,2,22,1,188,17,205,8.292682927
716CLR2,Pg716,1,Control,2,22,2,160,11,171,6.432748538
716CLR3,Pg716,1,Control,2,22,3,102,10,112,8.928571429
716CHR1,Pg716,4,Control,2,22,1,108,10,118,8.474576271
716CHR2,Pg716,4,Control,2,22,2,160,15,175,8.571428571
716CHR3,Pg716,4,Control,2,22,3,256,23,279,8.243727599
654CLR1,Pg654,1,Control,2,22,1,82,10,92,10.86956522
654CLR2,Pg654,1,Control,2,22,2,109,17,126,13.49206349
654CLR3,Pg654,1,Control,2,22,3,78,9,87,10.34482759
654CHR1,Pg654,4,Control,2,22,1,131,11,142,7.746478873
654CHR2,Pg654,4,Control,2,22,2,69,2,71,2.816901408
654CHR3,Pg654,4,Control,2,22,3,124,24,148,16.21621622
590DLR1,Pg590,1,Dark,3,36,1,205,27,232,11.63793103
590DLR2,Pg590,1,Dark,3,36,2,161,59,220,26.81818182
590DLR3,Pg590,1,Dark,3,36,3,135,42,177,23.72881356
590DHR1,Pg590,4,Dark,3,36,1,336,47,383,12.27154047
590DHR2,Pg590,4,Dark,3,36,2,141,23,164,14.02439024
590DHR3,Pg590,4,Dark,3,36,3,115,48,163,29.44785276
633DLR1,Pg633,1,Dark,3,36,1,297,59,356,16.57303371
633DLR2,Pg633,1,Dark,3,36,2,229,65,294,22.10884354
