ID,strain,temperature,treatment,timepoint,day,replicate,live,dead,tot cells,perc_dead,prop_dead
590DLR1,590,1,Dark,1,12,1,133,7,140,5,0.05
590DLR2,590,1,Dark,1,12,2,166,16,182,8.791208791,0.087912088
590DLR3,590,1,Dark,1,12,3,165,21,186,11.29032258,0.112903226
590DHR1,590,4,Dark,1,12,1,171,12,183,6.557377049,0.06557377
590DHR2,590,4,Dark,1,12,2,119,16,135,11.85185185,0.118518519
590DHR3,590,4,Dark,1,12,3,132,7,139,5.035971223,0.050359712
633DLR1,633,1,Dark,1,12,1,299,21,320,6.5625,0.065625
633DLR2,633,1,Dark,1,12,2,75,5,80,6.25,0.0625
633DLR3,633,1,Dark,1,12,3,302,12,314,3.821656051,0.038216561
633DHR1,633,4,Dark,1,12,1,136,26,162,16.04938272,0.160493827
633DHR2,633,4,Dark,1,12,2,78,11,89,12.35955056,0.123595506
633DHR3,633,4,Dark,1,12,3,175,27,202,13.36633663,0.133663366
595DLR1,595,1,Dark,1,12,1,139,24,163,14.72392638,0.147239264
595DLR2,595,1,Dark,1,12,2,68,19,87,21.83908046,0.218390805
595DLR3,595,1,Dark,1,12,3,38,13,51,25.49019608,0.254901961
595DHR1,595,4,Dark,1,12,1,45,51,96,53.125,0.53125
595DHR2,595,4,Dark,1,12,2,77,30,107,28.03738318,0.280373832
595DHR3,595,4,Dark,1,12,3,112,73,185,39.45945946,0.394594595
716DLR1,716,1,Dark,1,12,1,113,30,143,20.97902098,0.20979021
716DLR2,716,1,Dark,1,12,2,228,12,240,5,0.05
716DLR3,716,1,Dark,1,12,3,183,17,200,8.5,0.085
716DHR1,716,4,Dark,1,12,1,34,6,40,15,0.15
716DHR2,716,4,Dark,1,12,2,76,30,106,28.30188679,0.283018868
716DHR3,716,4,Dark,1,12,3,76,10,86,11.62790698,0.11627907
654DLR1,654,1,Dark,1,12,1,351,18,369,4.87804878,0.048780488
654DLR2,654,1,Dark,1,12,2,351,13,364,3.571428571,0.035714286
654DLR3,654,1,Dark,1,12,3,186,12,198,6.060606061,0.060606061
654DHR1,654,4,Dark,1,12,1,83,10,93,10.75268817,0.107526882
654DHR2,654,4,Dark,1,12,2,115,19,134,14.17910448,0.141791045
654DHR3,654,4,Dark,1,12,3,24,40,64,62.5,0.625
590CLR1,590,1,Control,1,12,1,211,10,221,4.524886878,0.045248869
590CLR2,590,1,Control,1,12,2,160,2,162,1.234567901,0.012345679
590CLR3,590,1,Control,1,12,3,200,14,214,6.542056075,0.065420561
590CHR1,590,4,Control,1,12,1,203,20,223,8.968609865,0.089686099
590CHR2,590,4,Control,1,12,2,134,56,190,29.47368421,0.294736842
590CHR3,590,4,Control,1,12,3,282,13,295,4.406779661,0.044067797
633CLR1,633,1,Control,1,12,1,526,26,552,4.710144928,0.047101449
633CLR2,633,1,Control,1,12,2,284,7,291,2.405498282,0.024054983
633CLR3,633,1,Control,1,12,3,292,24,316,7.594936709,0.075949367
633CHR1,633,4,Control,1,12,1,379,41,420,9.761904762,0.097619048
633CHR2,633,4,Control,1,12,2,200,24,224,10.71428571,0.107142857
633CHR3,633,4,Control,1,12,3,212,14,226,6.194690265,0.061946903
595CLR1,595,1,Control,1,12,1,146,18,164,10.97560976,0.109756098
595CLR2,595,1,Control,1,12,2,174,17,191,8.90052356,0.089005236
595CLR3,595,1,Control,1,12,3,291,37,328,11.2804878,0.112804878
595CHR1,595,4,Control,1,12,1,198,28,226,12.38938053,0.123893805
595CHR2,595,4,Control,1,12,2,297,46,343,13.41107872,0.134110787
595CHR3,595,4,Control,1,12,3,216,20,236,8.474576271,0.084745763
716CLR1,716,1,Control,1,12,1,136,12,148,8.108108108,0.081081081
716CLR2,716,1,Control,1,12,2,200,13,213,6.103286385,0.061032864
716CLR3,716,1,Control,1,12,3,143,13,156,8.333333333,0.083333333
