ID,strain,temperature,treatment,timepoint,replicate,growthrateA,initialConc,prop_dead,prop_live,initialConcB,finalConc,time(days),growthrateB,day
590DLR1,590,0.5,Dark,1,1,0.240334104,356.1822967,0.05,0.95,338.3731818,3939.4,10,0.245463433,9
590DLR2,590,0.5,Dark,1,2,0.316289914,225.9370813,0.087912088,0.912087912,206.0744808,5340.933333,10,0.325491804,9
590DLR3,590,0.5,Dark,1,3,0.236085086,350.2023591,0.112903226,0.887096774,310.6633831,3712.133333,10,0.248065206,9
590DHR1,590,4,Dark,1,1,0.359438509,259.1629851,0.06557377,0.93442623,242.168691,9431.8,10,0.366220768,9
590DHR2,590,4,Dark,1,2,0.312678602,259.1629851,0.118518519,0.881481481,228.4473721,5909.066667,10,0.325293731,9
590DHR3,590,4,Dark,1,3,0.349868168,281.7564593,0.050359712,0.949640288,267.5672851,9318.2,10,0.355035369,9
633DLR1,633,0.5,Dark,1,1,0.279455691,391.4022927,0.065625,0.934375,365.7165172,6401.533333,10,0.286243433,9
633DLR2,633,0.5,Dark,1,2,0.278214428,408.0158293,0.0625,0.9375,382.51484,6590.933333,10,0.28466828,9
633DLR3,633,0.5,Dark,1,3,0.327517852,313.6525784,0.038216561,0.961783439,301.6658557,8295.466667,10,0.331414449,9
633DHR1,633,4,Dark,1,1,0.376978807,244.5435407,0.160493827,0.839506173,205.2958119,10606.06667,10,0.394472952,9
633DHR2,633,4,Dark,1,2,0.388382825,239.2267411,0.123595506,0.876404494,209.6593911,11628.8,10,0.401575579,9
633DHR3,633,4,Dark,1,3,0.371067265,293.7186736,0.133663366,0.866336634,254.4592469,12007.6,10,0.385415437,9
595DLR1,595,0.5,Dark,1,1,0.235542083,211.9819444,0.147239264,0.852760736,180.769879,2234.833333,10,0.25146971,9
595DLR2,595,0.5,Dark,1,2,0.238988334,263.8143076,0.218390805,0.781609195,206.1996887,2878.8,10,0.263628376,9
595DLR3,595,0.5,Dark,1,3,0.23110481,172.7749336,0.254901961,0.745098039,128.7342642,1742.433333,10,0.260528757,9
595DHR1,595,4,Dark,1,1,0.328798392,188.0586856,0.53125,0.46875,88.15250885,5037.866667,10,0.404566962,9
595DHR2,595,4,Dark,1,2,0.280668581,201.3495149,0.280373832,0.719626168,144.8963799,3333.333333,10,0.313570922,9
595DHR3,595,4,Dark,1,3,0.257893726,150.8469364,0.394594595,0.605405405,91.32355071,1988.633333,10,0.308079421,9
716DLR1,716,0.5,Dark,1,1,0.221212359,280.67579,0.20979021,0.79020979,221.7927571,2564,10,0.24475804,9
716DLR2,716,0.5,Dark,1,2,0.240828783,262.41318,0.05,0.95,249.292521,2916.7,10,0.245958113,9
716DLR3,716,0.5,Dark,1,3,0.235209802,278.46533,0.085,0.915,254.795777,2926,10,0.244092923,9
716DHR1,716,4,Dark,1,1,0.327955822,214.88829,0.15,0.85,182.6550465,5708.3,10,0.344207715,9
716DHR2,716,4,Dark,1,2,0.313385582,245.57158,0.283018868,0.716981132,176.0701894,5638.9,10,0.346656157,9
716DHR3,716,4,Dark,1,3,0.330359375,198.04669,0.11627907,0.88372093,175.0180051,5388.9,10,0.342720771,9
654DLR1,654,0.5,Dark,1,1,0.25812872,292.3888889,0.048780488,0.951219512,278.1260163,3863.666667,10,0.263129762,9
654DLR2,654,0.5,Dark,1,2,0.293804569,315.6466707,0.035714286,0.964285714,304.3735753,5959.066667,10,0.297441334,9
654DLR3,654,0.5,Dark,1,3,0.26637656,285.0779971,0.060606061,0.939393939,267.8005427,4090.933333,10,0.272628596,9
654DHR1,654,4,Dark,1,1,0.399196122,200.0208998,0.107526882,0.892473118,178.5132761,10833.33333,10,0.410572011,9
654DHR2,654,4,Dark,1,2,0.393595422,209.3235447,0.141791045,0.858208955,179.6433406,10719.66667,10,0.40888619,9
654DHR3,654,4,Dark,1,3,0.394714129,210.6521598,0.625,0.375,78.99455992,10909.06667,10,0.492797054,9
590CLR1,590,0.5,Control,1,1,0.255932811,197.3625,0.045248869,0.954751131,188.4320701,3295.466667,11,0.260142318,9
590CLR2,590,0.5,Control,1,2,0.313134817,160.8150584,0.012345679,0.987654321,158.8296874,5037.866667,11,0.314264137,9
590CLR3,590,0.5,Control,1,3,0.304198448,177.426256,0.065420561,0.934579439,165.8189308,5037.866667,11,0.310349234,9
590CHR1,590,4,Control,1,1,0.257674246,224.6072967,0.089686099,0.910313901,204.4631445,2954.533333,10,0.267070826,9
590CHR2,590,4,Control,1,2,0.25701758,304.348764,0.294736842,0.705263158,214.6459704,3977.266667,10,0.291936007,9
590CHR3,590,4,Control,1,3,0.266170798,269.7954147,0.044067797,0.955932203,257.9061252,3863.666667,10,0.270677626,9
633CLR1,633,0.5,Control,1,1,0.292318627,211.3164673,0.047101449,0.952898551,201.3631555,5265.133333,11,0.296704702,9
633CLR2,633,0.5,Control,1,2,0.250716508,249.8603402,0.024054983,0.975945017,243.849954,3939.4,11,0.252930056,9
633CLR3,633,0.5,Control,1,3,0.237814125,265.8083998,0.075949367,0.924050633,245.62042,3636.333333,11,0.24499489,9
633CHR1,633,4,Control,1,1,0.346651995,247.2019404,0.097619048,0.902380952,223.0703224,7916.666667,10,0.356923845,9
633CHR2,633,4,Control,1,2,0.355578357,232.582496,0.107142857,0.892857143,207.6629429,8143.933333,10,0.366911225,9
633CHR3,633,4,Control,1,3,0.313265585,282.4207669,0.061946903,0.938053097,264.9256751,6477.266667,10,0.319660457,9
595CLR1,595,0.5,Control,1,1,0.226588114,131.5761696,0.109756098,0.890243902,117.1348827,1590.9,11,0.237157187,9
595CLR2,595,0.5,Control,1,2,0.292193752,83.72965178,0.089005236,0.910994764,76.27727439,2083.333333,11,0.300668128,9
595CLR3,595,0.5,Control,1,3,0.26952856,97.01931156,0.112804878,0.887195122,86.07505995,1881.311111,11,0.280409501,9
595CHR1,595,4,Control,1,1,0.362643334,89.71075889,0.123893805,0.876106195,78.59615159,3371.2,10,0.375870131,9
595CHR2,595,4,Control,1,2,0.40262647,79.74263689,0.134110787,0.865889213,69.04828908,4469.666667,10,0.417026301,9
595CHR3,595,4,Control,1,3,0.305712583,86.386882,0.084745763,0.915254237,79.0659598,1837.133333,10,0.314567923,9
716CLR1,716,0.5,Control,1,1,0.250498473,175.431579,0.081081081,0.918918919,161.2073969,2759.3,11,0.258185508,9
